"Source:","/Users/user/Desktop/HPS/Yuwei_Clock/YWS_clock/YWS_clock.kicad_sch"
"Date:",""
"Tool:","Eeschema (6.0.5-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","59"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Dielectric","Digikey PN","MFG","MPN","Mouser PN","Power","Tolerance","Voltage"
"","","BT1","Battery_Cell","HPS:Battery_Cell","footprints:BatteryHolder_Keystone_106_1x20mm","https://media.digikey.com/pdf/Data%20Sheets/Memory%20Protection%20PDFs/Coin_Cell_Guide.pdf","","BS-7-ND","MPD (Memory Protection Devices)","BS-7","N/A","","",""
"","","BZ1","Buzzer","HPS:Buzzer","footprints:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","https://product.tdk.com/info/en/catalog/datasheets/piezoelectronic_buzzer_ps_en.pdf?ref_disty=digikey","","445-2526-1-ND","TDK","PS1420P02CT","N/A","","",""
"","","C1","C_0805_10uf","HPS:C_0805_10uf","footprints:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR61E106KA73-01.pdf","N/A","490-5523-1-ND","Murata Electronics","GRM21BR61E106KA73L","N/A","","N/A","N/A"
"","","C2","C_0805_0.1uf","HPS:C_0805_0.1uf","footprints:C_0805_2012Metric","https://datasheets.avx.com/X7RDielectric.pdf","N/A","478-1395-1-ND","AVX Corporation","08055C104KAT2A","N/A","","N/A","N/A"
"","","C3","C_0805_22pf","HPS:C_0805_22pf","footprints:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf","N/A","311-1103-1-ND","Yageo","CC0805JRNPO9BN220","N/A","","N/A","N/A"
"","","C4","C_0805_22pf","HPS:C_0805_22pf","footprints:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf","N/A","311-1103-1-ND","Yageo","CC0805JRNPO9BN220","N/A","","N/A","N/A"
"","","C5","C_0805_0.1uf","HPS:C_0805_0.1uf","footprints:C_0805_2012Metric","https://datasheets.avx.com/X7RDielectric.pdf","N/A","478-1395-1-ND","AVX Corporation","08055C104KAT2A","N/A","","N/A","N/A"
"","","C6","C_0805_1uf","HPS:C_0805_1uf","footprints:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","N/A","311-1456-1-ND","Yageo","CC0805KKX7R8BB105","N/A","","N/A","N/A"
"","","C7","C_0805_1uf","HPS:C_0805_1uf","footprints:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","N/A","311-1456-1-ND","Yageo","CC0805KKX7R8BB105","N/A","","N/A","N/A"
